id,resource_type,title,description,start_date,end_date,latitude,longitude,author,evacuated,homeless,injuries,deaths,insured_cost_aud,trains_damaged,trains_destroyed,homes_damaged,homes_destroyed,buildings_damaged,buildings_destroyed,industrial_premises_destroyed,commercial_premises_damaged,commercial_premises_destroyed,bridges_damaged,bridges_destroyed,aircraft_damaged,aircraft_destroyed,motor_vehicles_damaged,motor_vehicles_destroyed,water_vessels_damaged,water_vessels_destroyed,businesses_damaged,businesses_destroyed,farms_damaged,farms_destroyed,crops_destroyed,livestock_destroyed,government_assistance_aud,regions_affected,subjects,source_url,south_australia_affected
294,Disaster Event,Transport - Parafield Region Light Aircraft Crash,"On 8 February 1969, the pilot of Cessna P206A lodged a charter flight plan to return to Parafield from Ceduna with three passengers after being briefed that the weather conditions were marginal for flight. Just prior to setting course the pilot was advised that Adelaide Airport was then closed to VFR traffic, due to visibility but was expected to be re-opened in 20 minutes. Aircraft wreckage was found two days later after the search aircraft had been delayed for some time by very low cloud along the route. The aircraft had struck the ground in a steep nose down, right wing down attitude. All on board died.",1969-02-08,1969-02-08,-34.788396,138.634071,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=294,Y
310,Disaster Event,Flood - Mid-North South Australia,"On 14 April 1889, very heavy and widespread rains overflowed rivers leading to severe flooding in the metropolitan and mid northern areas of South Australia with towns including Quorn and Caltowie, Border Town and in the Adelaide Hills and city suburbs being affected. Some suburbs of Adelaide such as Norwood, Kensingston, and Kent Town experienced extensive damage to private property and public infrastructure. Over a two day period substantial rainfall was also reported north of Adelaide at Clare, Riverton and Glen Ewin.   During these floods it was reported that five people died.",1889-14-04,1889-19-04,-34.92729187,138.6278992,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=310,Y
321,Disaster Event,Environmental - National Drought,"At 3897 days it was the longest drought in arid central Australia.  Australia-wide, there was a 40 percent drop in the wheat harvest, a loss of 20 million sheep, and a decrease of farm income of up to $500 million.",1958-01-01,1968-09-01,-23.70033646,133.880722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Territory;Queensland;New South Wales;Australian Capital Territory;South Australia;Western Australia;Tasmania;Victoria,,http://www.emknowledge.gov.au/resource/?id=321,Y
342,Disaster Event,Epidemic - Food Poisoning Outbreak,"Over the 1995 Christmas period in Adelaide an outbreak of food poisoning occurred, predominantly affecting children. The E.coli bacteria were found in a smallgoods product. One child died and 22 others have experienced long term health problems as a result of ingesting these bacteria.",1994-11-01,1995-02-01,-34.92795181,138.600174,,,,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=342,Y
350,Disaster Event,Bushfire - Black Friday,"In the lead up to Black Friday, 13 January 1939, drought conditions prevailed and there were widespread water shortages. By the beginning of the week of Black Friday, fires were burning in Dromana, Arthurs Seat, Frankston, Dandenong Ranges, Cockatoo, Noojee, Moe, Yallourn, Bairnsdale, Harrietville, Mt Bogong, Orbost, Woodend and Mt Macedon. The whole of Victoria was covered in smoke, it is estimated that 75 per cent of the state was affected to some extent. Despite the number of fires burning and the harsh conditions, more fires were lit by bushmen and graziers attempting to protect themselves from the fires, only to have them lose control and spread.  The first deaths occurred on 8 January when two people died in the Toolangi State Forest.  By 10 January, almost all the forests in the Great Dividing Range were on fire. There was a large outbreak around the town of Erica, north-east of Moe, and at Powelltown between Yarra Junction and Noojee. On Black Friday itself, the temperature reached 44.7ºC in Melbourne, and 47.2ºC in Mildura and the humidity level was low. Narbethong, Noojee, Woods Point, Nayook West and Hill End were completely destroyed by the fires on this day.  The south-east of South Australia, southern New South Wales, Australian Capital Territory and Tasmania all experienced fires in January 1939. Overall, 36 people died in Victoria on Black Friday alone and the total number of deaths were 71. Fires destroyed more than 700 homes, 69 sawmills, many businesses, farms and other buildings; approximately 1300 buildings were lost.  There was a Royal Commission for the Black Friday bushfires which played a significant role in increasing bushfire awareness and prevention throughout Australia.",1939-01-13,1939-01-20,-37.56360245,145.4637756,,,,,71,,,,,1000,,,,,,,,,,,,,,,69,,,,,,Australian Capital Territory;New South Wales;Victoria;South Australia;Tasmania,,http://www.emknowledge.gov.au/resource/?id=350,Y
356,Disaster Event,Transport - Spencer Gulf Light Aircraft Crash,"On 31 May 2000, Piper Chieftain, VH-MZK, was on a regular public transport service from Adelaide to Whyalla, South Australia. One pilot and seven passengers were on board. The aircraft departed early evening and the pilot was cleared to track direct to Whyalla at 6,000 ft. The entire flight was conducted in darkness. The aircraft reached 6,000 ft and proceeded apparently normally at that altitude on the direct track to Whyalla. At approximately 1900 hours the pilot transmitted a MAYDAY report indicating both engines of the aircraft had failed, that there were eight persons on board and that he was going to have to ditch the aircraft, but was trying to reach Whyalla. About three minutes later, the pilot reported his position off the coast from Whyalla.  The crew of another aircraft heard an emergency locater transmitter (ELT) signal for 10-20 seconds, several minutes later then there was no more contact. The aircraft was located several days later on the sea-bed. Of the eight on board there were no survivors.",2000-05-31,2000-05-31,-34.23224258,136.9802856,,,,,8,,,,,,,,,,,,,,1,,,,,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=356,Y
363,Disaster Event,Transport - El Alamein Helicopter Crash,"On 25 November 1978, an Iroquois A2-770 helicopter took off from Yadnapinna destined for the base camp at El Alamein near Port Augusta in South Australia. On board were five military personnel. During the flight, the aircraft maintained a steady altitude of approximately 2200 ft, overflying the camp about 30 minutes later and gradually descending to 1700 ft. At 12.35 am, the helicopter radioed its intention to commence descent.  The aircraft, 2 km from camp, struck a ridgeline at 791 ft. The helicopter exploded on impact. The A2-770 disintegrated spreading wreckage over a distance of 200 m and all onboard were killed.",1978-11-25,1978-11-25,-32.54420853,137.6792908,,,,,5,,,,,,,,,,,,,,1,,,,,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=363,Y
369,Disaster Event,Transport - Golden Grove Light Aircraft Crash,"On 13 July 1972 the Piper PA3I-3K aircraft was engaged to operate a charter flight for Santos Ltd. The aircraft was owned and operated by Ansett Transport Industries (Operations) Pty. Ltd. trading as Ansett General Aviation. The aircraft was en route from Adelaide to Moomba and had seven passengers on board along with the pilot. When the aircraft was indicated to be approximately 14 miles from Adelaide the radar ceased to register the flight on the display screen.  A number of witnesses in the Golden Grove area, thirteen miles north-east of Adelaide, heard the sound of an approaching aircraft but could not initially see it due to low cloud. Some witnesses saw the aircraft emerge from the base of the cloud or observed it on a descending flight path immediately before it struck the ground. The aircraft disintegrated on impact. All eight on board the flight were killed.",1972-07-13,1972-07-13,-34.79287338,138.6933746,,,,,8,,,,,,,,,,,,,,1,,,,,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=369,Y
378,Disaster Event,Bushfire - Eyre Peninsula,"On 10 January 2005 a fire started near the town of Wangary in the Lower Eyre Peninsula and broke its containment lines the following day. As the next day progressed, South Australia faced two significant fires, Mount Osmond in the Adelaide Hills and the Lower Eyre Peninsula (outside Port Lincoln).  A major incident was declared in the afternoon; heat from the fire was 1000 °C with speeds up to 100 km per hour. The fire became known as Black Tuesday and it was not contained until the next day and finally extinguished 20 January 2005. This was the worst fire in South Australia since the 1983 Ash Wednesday fires.  Nine people died in these fires and more than 110 people were injured. Approximately 82,000 ha were burnt. The worst affected areas were Wangary, North Shields, Wanilla, Pooindie, Louth Bay, White Flat, Koppio, Greenpatch and Warunda. Essential services were destroyed; there was loss of electricity, telecommunications, and water supply.  In terms of personal property, 79 houses were destroyed, 26 homes extensively damaged, 139 vehicles destroyed, 324 sheds destroyed or damaged and 6300 km of fencing damaged. Livestock death totalled 46,500 which were mainly sheep. One aircraft was destroyed worth in the vicinity of $100,000.  The recovery process was immediately put into effect. This included a Bushfire Recovery Centre being set up at Port Lincoln High School and a State Recovery Committee meeting for the first time on the 12 January. Personal Hardship and Distress grants were provided and a hot line for Centrelink was established.  The Insurance Council of Australia estimated the 2005 damage at $27.7 million, with the 2011 estimated normalised cost of $41 million.",2005-01-10,2005-01-12,-34.71579361,135.8571014,,,,110,9,27700000,,,26,79,324,,,,,,,,1,,139,,,,,,,,46500,,South Australia,,http://www.emknowledge.gov.au/resource/?id=378,Y
379,Disaster Event,"Severe Storm - New South Wales, Victoria, Australian Capital Territory, Tasmania and South Australia","At the beginning of February 2005 a low pressure system brought severe storms to eastern Australia. The weather system resulted in record rainfalls to south-east Australia and abnormally low temperatures through much of the eastern half of the country.  New South Wales  On 2 February, many areas of New South Wales and suburban Sydney experienced hail and heavy rain. Some examples are:    Kellyville, hail 5 cm,  Blacktown, hail 4 cm,  Kings Langley, hail 3 cm,  Quakers Hill, hail 3 cm,  Greystanes, heavy rain and hail 4 cm,  Potts Hill, hail 2-3 cm,  Castle Hill, hail 4-5 cm,  Greenacre, hail 4-5 cm,  St Ives, heavy rain and hail 2 cm,  Wahroona, heavy rain and hail 3 cm,  Gosford, hail 4 cm and Terrigal hail 4-5 cm.    Flash flooding was seen in Bexley (metropolitan Sydney) and in North Ryde. A thunderstorm and possible tornado caused severe local wind damage, bringing down trees and power lines, resulting in power outages to thousands of homes.  The strongest wind gusts during the storm were felt at Bathurst with 93 km per hour, Scone 93 km per hour, Kurnell 94 km per hour and Newcastle 91 km per hour.  The unseasonal cold weather brought snow to some areas of New South Wales where approximately 10-15 cm snow fell in the Snowy Mountains and temperatures reached as low as minus 5°C. On the Brindabella Ranges near Canberra and on the Southern Tablelands, several centimetres of snow settled on the ground. Record low maximum and minimum temperatures occurred over this period, especially in the southern areas of the state.  Victoria  Substantial rainfall was reported in many areas of Victoria with 24 hour rainfall totals exceeding 150 mm in many places. Rainfall in the Melbourne metropolitan area exceeded 100 mm with an all time 24 hour record for Melbourne set at 120.2 mm (the previous record was 108 mm).  The highest wind gusts were recorded at Wilson's Promontory with gusts of up to 148 km per hour. In the Melbourne area wind gusts to 104 km per hour were recorded at Fawkner and Beacon.  Extensive damage to buildings was reported and over 7000 requests for assistance were received by the SES and other emergency services over the following days.  Tasmania  During this storm, Tasmania experienced widespread damage particularly from wind gusts. The strong south easterly winds caused damage from Devonport to Bridport, Scottsdale and Winnaleah in the north-east, Binalong Bay on the East Coast, and to Flinders Island in Bass Strait. Port Sorell (near Devonport) reported many homes to be badly damaged in part due to falling trees.  Approximately 25 yachts in the Tamar River broke their moorings, with 14 reportedly destroyed, causing hundreds of thousands of dollars damage.  The Bass Strait ferry Spirit of Tasmania l was forced to return to Melbourne after sustaining damage in seas estimated at 20 m. The Spirit of Tasmania II was delayed on its voyage from Devonport to Melbourne, while the Spirit of Tasmania III broke its moorings in Devonport and was also slightly damaged.  Fruit crops sustained up to 50 per cent loss; particularly apple and pear growers. Damage was also sustained to poppy and grain crops.  Strong winds battered Tasmania during this storm, some examples are; Mount Wellington 104 km per hour, Mount Read 93 km per hour, Eddystone Point 117 km per hour, Flinders Island Airport 100 km per hour, Launceston Airport 94 km per hour and Cape Bruny on Bruny Island 91 km per hour.  On 3 February substantial rainfall accompanied the storm and flooding occurred in several areas on the east coast, some suburbs of Hobart and in the south-east. The Browns River at Kingston broke its banks causing local flooding with several minor landslides also reported in the area.  South Australia  Gale force winds of up to 67 km per hour occurred at several locations in South Australia during this storm event. These occurred in Marree and briefly at Hindmarsh Island.  The Insurance Council of Australia estimated the 2005 damage for the combined states at $216.7 million, with the estimated 2011 normalised cost of $304 million.",2005-02-01,2005-02-03,-33.71191788,150.9577332,,,,,,216700000,,,,,,,,,,,,,,,,13,14,,,,,,,,Australian Capital Territory;New South Wales;Victoria;South Australia,,http://www.emknowledge.gov.au/resource/?id=379,Y
423,Disaster Event,Transport - Copley Rail Collision,"On 11 May 1944, a military train was hit from behind by a goods train in Copley, 604 km north of Adelaide. Four servicemen were killed and 27 others were injured; two seriously. The 16 carriage train contained several hundred servicemen aboard had departed Terowie in South Australia's Mid North for an undisclosed northern destination. The locomotive struggled to haul the carriages and laden trucks. It made several attempts to get over Quarry Hill and eventually made it, however it had to stop shortly after due to injector trouble. The guard saw the headlights of the rear approaching train and attempted to halt the train but to no avail. Despite the driver of the goods train applying the brakes the crash occurred impacting most severely on carriages 15 and 16.",1944-05-11,1944-05-11,-30.55324364,138.4249878,,,,27,4,,9,,,,,,,,,,,,,,,,,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=423,Y
460,Disaster Event,Hail - Port Broughton,"On 14 November 1979 Port Broughton sustained damaged by a line of ferocious storms that hit south-eastern South Australia. Very strong winds and hail ruined solid brick houses, holiday shacks and caravans. Cars were pushed sideways along the road. Pine trees up to 30 m tall were uprooted.  There was no loss of life during the event which was considered to be amazing. Eleven people were injured requiring hospital admission, 60 others required hospital treatment.  While Port Broughton incurred the most damage, other areas were also affected by this weather event. Destruction was felt from the mid north to northern Adelaide Plains. Clare experienced severe damage; houses lost their roofs and sheds were demolished in the high winds. Likewise the northern suburbs of Adelaide saw houses unroofed and the trees blown over in areas such Salisbury North, Parafield Gardens, and Munno Para.  The agriculture industry was severely impacted with crops damaged, glass houses broken, grape vines stripped, storage tanks squashed, orchards destroyed and many farmers livelihoods built up over many years were lost within ten minutes.  According to the Bureau of Meteorology Regional Forecasting Centre, the thunderstorm triggered by the trough line that extended across Yorke Peninsula moved over Port Broughton and produced destructive winds. The winds at all levels through the atmosphere were very strong. A thunderstorm is classified as severe if it produces wind gusts of 90 km per hour of more. On this day gusts were much higher with reports of 135 km per hour to 160 km per hour. Isolated large hail coming from very cold air high above the earth's surface was rapidly transported to the surface by downdrafts and accompanied the thunderstorms associated with the trough immediately to the east causing damage to some of Adelaide’s northern suburbs.  The Insurance Council of Australia estimated the 1979 damage at $10 million, with the 2011 normalised cost of $92 million.",1979-11-14,1979-11-14,-33.60050201,137.9333191,,,150,71,,10000000,,,,,,,,,,,,,,,,,,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=460,Y
478,Disaster Event,Landslide - Adelaide Hills,"In late January 1928, workers were demolishing a tunnel on the Belair railway line when 150 tons of earth and rock fell and entombed nine workmen,six of whom were killed. The accident was caused by heavy rain resulting in the embankment collapsing.",1928-01-31,1928-01-31,-34.99681473,138.6215363,,,,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=478,Y
483,Disaster Event,Environmental - South-Eastern Australia Heatwave 2009,"From 27 January until 8 February a heat wave affected parts of south-eastern Australia. The heatwave came in two major episodes, 28-31 January and 6-8 February.  In much of central, southern and western Victoria, maximum temperatures widely reached their highest levels since at least 1939. In Melbourne the temperature was above 43 °C for three consecutive days from 28 to 30 January, reaching a peak of 45.1 °C, the second highest on record behind 45.6 °C in 1939.  In southern South Australia maximum temperatures widely reached their highest levels since at least 1939. Adelaide peaked at 45.7 °C on 28 January and South Australia's highest temperature was 48.2 °C at Kyancutta.  There were widespread power outages across both states. In Victoria, up to 500,000 homes and businesses were left without electricity. There were also major disruptions to train services with more than 1300 trains cancelled as rails buckled and air-conditioning failed.  A Department of Human Services report from the Victorian Government found that the heatwave contributed to 374 deaths.",2009-01-27,2009-01-31,-37.81310654,144.9633942,,,,,374,,,,,,,,,,,,,,,,,,,,,,,,,,South Australia;Victoria,,http://www.emknowledge.gov.au/resource/?id=483,Y
487,Disaster Event,Epidemic - H1N1 Pandemic,"In April 2009, a new strain of influenza A virus called 'H1N1 2009 influenza' was identified in Mexico. Because of the speed the virus spread around the world and the fact that it was a new strain of flu, the World Health Organization declared it a pandemic in June 2009. This H1N1 influenza strain is referred to as both 'pandemic flu' and 'swine flu'.  The first case of this new pandemic strain of flu in Australia was in May 2009. By February 2010 there were over 5000 people hospitalised and nearly 200 deaths due to pandemic flu. Reports indicate that most of those who died had underlying medical conditions, including cancer, diabetes mellitus and morbid obesity. The median age of death was 53 years, compared to the median age of death from seasonal flu from 2001 to 2006, which was 83 years.  The then Minister for Health and Ageing, Nicola Roxon, announced in a media release that as of 1 December 2010 Australia's Pandemic Phase moved from PROTECT to ALERT which signified the end of the H1N1 influenza pandemic in Australia. The Department of Health and Ageing reported that there were 44,403 confirmed cases of swine flu in Australia since May 2009, including 6767 in 2010.  The Centers for Disease Control and Prevention estimate that globally there were approximately 284,500 fatalities as a result of the pandemic, with 59 per cent of the deaths occurring in south-east Asia and Africa, and 80 per cent of the victims under 65.",2009-05-09,2010-12-01,-27.47092438,153.0235901,,,,,191,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Territory;Queensland;New South Wales;Australian Capital Territory;South Australia;Western Australia;Tasmania;Victoria,,http://www.emknowledge.gov.au/resource/?id=487,Y
493,Disaster Event,Severe Storm - Southern States Windstorms,"Victoria  On 2 April 2008 very strong northerly winds developed across central and western Victoria. Maximum wind gusts in Victoria were recorded at Mt Gellibrand at 131 km per hour, Dunns Hill in the Dandenongs at 115 km per hour and Melbourne Airport 107 km per hour.  Areas of raised dust were reported from the western half of the state, with visibility down to 200 m in some places.  The heaviest rainfall totals were from Falls Creek (Rocky Valley Dam) with 50 mm and Wilsons Promontory with 26 mm. The storm sent vegetation and debris flying, caused major disruption to Melbourne traffic and public transport systems and extensive damage to the electricity distribution network. Lanes were closed on the Westgate bridge where wind gusts were close to 120 km per hour, many traffic lights were out and conditions on the roads were chaotic. Several boats were washed ashore at Mornington, where large waves were observed.  There were reports that two people died as a result of this storm in Victoria.  More than 9,500 requests for assistance were received by emergency service agencies across the State between 2-7 April 2008 as a result of this event.  The Department of Human Services (DHS) coordinated Red Cross and local government to support the community with recovery, distributing 864 personal hardship grants totalling $240,115.  South Australia  An intense low on 2 April produced widespread wind gusts in excess of 90 km per hour across the Mount Lofty Ranges, Kangaroo Island and the South East districts of South Australia.  Tasmania  A deep low pressure system passed close to Tasmania bringing destructive winds from late 2nd April until early the next day with individual wind gusts well over 100 km per hour recorded at several locations. More than 40,000 premises lost power with at least 200 fallen power lines caused road closures. Many buildings lost their roofs. The pressure at Maatsuyker Island dipped to 966.2 hPa on 3 April the second lowest mean sea level pressure ever reported in Tasmania. Strong and gusty winds on 2 April caused a dust storm in the southern Midlands.  The estimated damage bill was around two million dollars.  The Insurance Council of Australia estimated the 2008 damage at $65 million across the three states, with the 2011 estimated normalised cost of $79 million.",2008-04-02,2008-04-02,-38.22995377,143.8007355,,,,,2,65000000,,,,,,,,,,,,,,,,,,,,,,,,,Tasmania;South Australia;Victoria,,http://www.emknowledge.gov.au/resource/?id=493,Y
512,Disaster Event,Environmental - Eastern and Northern Australia Severe Drought,"In early 1991 the drought began to affect southern Queensland and north-west New South Wales. By October the same year 65 per cent of both states were under drought conditions.  During 1992-1993 there was some improvement in conditions where rain fell but this was inconsistent and often short-lived. In early 1994 the drought extended significantly affecting most of New South Wales and Victoria, encroaching on southern South Australia the south and west of Western Australia and north-eastern Tasmania.  As 1994 went on, the drought steadily worsened; by September 1994, about 83 per cent of New South Wales and 40 per cent of Queensland were drought declared.  In September 1994, the Commonwealth announced a total drought assistance package assessed to total $164 million over two years. Over the course of this drought average rural production fell by over 10 per cent and rural unemployment rose. Loss to the economy is estimated at around $5 billion.",1991-01-01,1996-10-01,-27.56520081,151.9551697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Territory;Queensland;New South Wales;Australian Capital Territory;South Australia;Western Australia;Tasmania;Victoria,,http://www.emknowledge.gov.au/resource/?id=512,Y
592,Disaster Event,Bushfire - Mount Lofty Ranges,"On 20 February 1980 in the Mount Lofty Ranges, east of Adelaide there was a fire described as an early Ash Wednesday. This fire began two weeks prior in a rubbish dump south-south-east of Adelaide. It smouldered until 20 February when hot winds fanned the fire which burnt 8000 ha in one day. The fire destroyed 51 homes, the Anglican church at Longwood and 75 farms along with orchards and market gardens. The damage bill was estimated at more than $30 million. Court cases were held to ascertain who was responsible for this fire and they went on for over ten years.  The Insurance Council of Australia estimated the 1980 damage as $13 million, with the 2011 estimated normalised cost of $132 million.",1980-02-20,1980-02-20,-35.00764465,138.7087402,,,,,,13000000,,,,51,,1,,,,,,,,,,,,,,,75,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=592,Y
602,Disaster Event,Environmental - South Australia and Victoria Heatwave,"From Friday 30 December 2011 to 4 January 2012 South Australia and Victoria endured extreme temperatures.  On 1 January 2012 Adelaide recorded its hottest New Year's Day since 1900 with a maximum temperature of 41.6 º C. On 2 January Mount Gambier reached a maximum of 41.7 º C and Renmark hit 42.3 º C. These temperatures prompted a South Australian power company to cut electricity supplies to approximately 3300 properties on the Fleurieu Peninsula on 2 January.  On 2 January Victoria recorded temperatures in the forties, with Melbourne reaching 40 º C and Dartmoor in the south-west recording the state’s maximum of 43 º C. Victoria's ambulance service treated 45 patients for heat-related illnesses, including four cases of children left in cars. A 30 per cent increase in fainting episodes was experienced.  A spokesman for Life Saving Victoria reported 163 rescues occurred during the period 31 December to 2 January.  Approximately 450 people in Melbourne's outer west suburb of Sunbury were without power when a power kiosk failed to cope with the increased demand. A replacement kiosk was installed but caught fire soon after. A spokesman for the power company said an increase in consumption is believed to have caused the original outage.  In some regions on 2 January the temperature reached 40 º C, the wind speed was 50 km per hour and the relative humidity was at 21 per cent; creating extreme fire conditions. The Victorian Country Fire Authority responded to 200 fires throughout the state, including 21 grass fires. The worst fires were in the state's south-west, with the largest blaze in Koroit, which spread over 15 ha and took 15 crews and two aircraft to control.  A total fire ban was issued across most of Victoria and South Australia.  A severe fire warning was given to the central district and Victoria's north-western regions and the Country Fire Service ordered a total fire ban in 13 of the state's 15 districts.",2011-12-30,2012-01-04,-34.12544632,140.9765625,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=602,Y
606,Disaster Event,Transport - Barossa Valley School Bus Crash,"On 29 January 2001 a busload of school students collided with a truck at Nurjootpa. The driver of the bus died and up to 26 students were injured, three seriously.",2001-01-29,2001-01-29,-34.472175,138.99662,,,,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=606,Y
607,Disaster Event,"Transport - Salisbury Train, Bus and Car Collision","On 24 October 2002, the passenger train 5AL8 collided with a car and a bus on the Salisbury Interchange controlled level crossing on Park Terrace Adelaide.  As the train approached the level crossing, the driver and co-driver saw stationary vehicles across the track. The train driver sounded the warning horn and applied the emergency brakes. Two cars were able to reverse clear of the track. However, a small sedan and the bus were unable to move because of other vehicles, though the driver of the sedan managed to jump out of the car and run to safety.   As a result of the accident four people were killed and 26 injured. The small sedan, car and bus were destroyed. In addition, two other vehicles were damaged. The locomotive and the first vehicle sustained minor damage. There was no derailment the of the rail vehicles.",2002-10-24,2002-10-24,-34.76373672,138.6423645,,,,26,4,,,,,,,,,,,,,,,,,,,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=607,Y
608,Disaster Event,Hail - Adelaide,"On 22 January 1991 at 7 pm a damaging hail storm occurred in Adelaide; at the time it was one of the most severe storms on record. Hailstones reached 10 cm in diameter, causing damage to motor vehicles, roof tiles and windows resulting in water damage to many houses.  The Insurance Council of Australia estimated the 1991 damage at $30 million, with the 2011 estimated normalised cost of $112 million.",1991-01-22,1991-01-22,-34.9287262,138.5999451,,,,,,30000000,,,,,,,,,,,,,,,,,,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=608,Y
609,Disaster Event,Flood - Murray River,"The 1956 River Murray flood was the largest flood ever recorded in South Australia at that time. Previous floods of 1917, 1931 and the floods of the nineteenth century were large, but nothing of this magnitude.  In 1956 heavy rains in Queensland, New South Wales and Victoria eventually caused exceptional flooding along the length of the Murray River in South Australia. Riverside towns and farms were inundated and in some places floodwaters were many km wide. Approximately 800 homes and holiday houses were flooded and orchards and crops were destroyed, in some cases taking the agricultural industry years to recover. While the flood peak was reached in late August, some places remained under water for six months.  (While this event does not strictly meet database criteria, given the floods significance it is important that is documented).",1956-06-08,1956-12-01,-34.91437912,139.3115845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=609,Y
610,Disaster Event,Environmental - Heatwave Oodnadatta,"A heatwave occurred in South Australia in January 1960 which saw temperatures exceeding 45 °C in the north of the State from 31 December to 3 January. On 2 January, Oodnadatta reached a state record - and arguably an Australian record of 50.7 °C. The minimum that day was 34.6 °C. The temperature again reached the low 40s on 6-8 and 10 January. There were several deaths in the 1960 heat wave: five infants and eight adults died. Other people were admitted to hospital with heat exhaustion, including 18 in Broken Hill.",1959-12-31,1960-01-03,-27.51801491,135.43396,,,,18,13,,,,,,,,,,,,,,,,,,,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=610,Y
617,Disaster Event,Environmental - Heatwave Dec 1907,"In the summer of 1907 - 1908 it is estimated that 246 people died as a result of a heatwave.  Mortality during heatwaves can be difficult to measure, as deaths tend to occur from exacerbations of chronic medical conditions as well as direct heat related illness, particularly in the frail and elderly. Excess mortality provides a measure of impact, but does not provide information specifically on underlying cause of death (Victorian Government, January 2009 Heatwave in Victoria: an Assessment of Health Impacts).  It is imperative that heatwaves are included in the disaster information, however, for reasons outlined above accurate statistics as to the actual numbers of deaths and injuries in most instances cannot be provided.",1907-12-01,1908-02-28,-27.47077179,153.0236359,,,,,246,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Territory;Queensland;New South Wales;Australian Capital Territory;South Australia;Western Australia;Tasmania;Victoria,,http://www.emknowledge.gov.au/resource/?id=617,Y
618,Disaster Event,Environmental - Heatwave Dec 1895,"In the summer of 1895 - 1896 it is estimated that 431 people died as a result of a heatwave.  Mortality during heatwaves can be difficult to measure, as deaths tend to occur from exacerbations of chronic medical conditions as well as direct heat related illness, particularly in the frail and elderly. Excess mortality provides a measure of impact, but does not provide information specifically on underlying cause of death (Victorian Government, January 2009 Heatwave in Victoria: an Assessment of Health Impacts).  It is imperative that heatwaves are included in the disaster information, however, for reasons outlined above accurate statistics as to the actual numbers of deaths and injuries in most instances cannot be provided.",1895-01-12,1896-28-02,-32.2499733,147.3815918,,,,,431,,,,,,,,,,,,,,,,,,,,,,,,,,Queensland;New South Wales;Australian Capital Territory;South Australia;Western Australia;Northern Territory;Tasmania;Victoria,,http://www.emknowledge.gov.au/resource/?id=618,Y
619,Disaster Event,Environmental - Heatwave Dec 1913,"In the summer of 1913 - 1914 it is estimated that 122 people died as a result of a heatwave.  Mortality during heatwaves can be difficult to measure, as deaths tend to occur from exacerbations of chronic medical conditions as well as direct heat related illness, particularly in the frail and elderly. Excess mortality provides a measure of impact, but does not provide information specifically on underlying cause of death (Victorian Government, January 2009 Heatwave in Victoria: an Assessment of Health Impacts).  It is imperative that heatwaves are included in the disaster information, however, for reasons outlined above accurate statistics as to the actual numbers of deaths and injuries in most instances cannot be provided.",1913-12-01,1914-02-28,-30.47708321,136.9116211,,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,Queensland;New South Wales;Australian Capital Territory;South Australia;Western Australia;Northern Territory;Tasmania;Victoria,,http://www.emknowledge.gov.au/resource/?id=619,Y
620,Disaster Event,Environmental - Heatwave Dec 1920,"In the summer of 1920 - 1921 it is estimated that 147 people died as a result of a heatwave.  Mortality during heatwaves can be difficult to measure, as deaths tend to occur from exacerbations of chronic medical conditions as well as direct heat related illness, particularly in the frail and elderly. Excess mortality provides a measure of impact, but does not provide information specifically on underlying cause of death (Victorian Government, January 2009 Heatwave in Victoria: an Assessment of Health Impacts).  It is imperative that heatwaves are included in the disaster information, however, for reasons outlined above accurate statistics as to the actual numbers of deaths and injuries in most instances cannot be provided.",1920-12-01,1921-02-28,-34.63772964,143.5528564,,,,,147,,,,,,,,,,,,,,,,,,,,,,,,,,Queensland;New South Wales;Australian Capital Territory;South Australia;Western Australia;Northern Territory;Tasmania;Victoria,,http://www.emknowledge.gov.au/resource/?id=620,Y
