Towns and Suburbs,System
Tatachilla,Southern metro Adelaide suburbs
Tea Tree Gully,Anstey Hill (supplying north eastern Adelaide)
Telowie,Morgan/Northern
Templers,Swan Reach
Tennyson,Western metro Adelaide suburbs
Teringie,Eastern metro Adelaide suburbs
Terowie,Terowie
The Range,Southern metro Adelaide suburbs
Thebarton,Central metro Adelaide suburbs
Thevenard,Eyre South/Morgan
Thomas Plain,Morgan/Northern
Thorngate,Western metro Adelaide suburbs
Tickera,Morgan/Northern
Tintinara,Tailem Bend
Toorak Gardens,Central metro Adelaide suburbs
Torrens Island,Western metro Adelaide suburbs
Torrens Park,Central metro Adelaide suburbs
Torrensville,Central metro Adelaide suburbs
Towitta,Swan Reach
Tranmere,Eastern metro Adelaide suburbs
Trinity Gardens,Western metro Adelaide suburbs
Trott Park,Central metro Adelaide suburbs
Truro,Swan Reach
Tumby Bay,Eyre South
Tungkillo,Mt Pleasant
Tusmore,Central metro Adelaide suburbs
Two Wells,Barossa
Ulyerra,Morgan/Eyre
Umuwa,Umuwa
Underdale,Central metro Adelaide suburbs
Ungarra,Eyre South
Unley,Central metro Adelaide suburbs
Unley Park,Central metro Adelaide suburbs
Upper Hermitage,Anstey Hill (supplying north eastern Adelaide)
Upper Sturt,Summit
Urrbrae,Central metro Adelaide suburbs
Vale Park,Western metro Adelaide suburbs
Valley View,Eastern metro Adelaide suburbs
Verdun,Summit
Verdun,Summit
Victor Harbor,Myponga (supplying Victor Harbor and the Fleurieu)
Virginia,Northern metro Adelaide suburbs
Vista,Anstey Hill (supplying north eastern Adelaide)
Waddikee,Morgan/Eyre
Waikerie,Waikerie
Walkerville,Western metro Adelaide suburbs
Walkley Heights,Eastern metro Adelaide suburbs
Wall Flat,Mypolonga
Wallaroo,Morgan/Northern
Wallaroo,Morgan/Swan Reach
Wallaroo Plain,Morgan/Northern
Wami Kata,Morgan/Northern
Wandearah East,Morgan/Northern
Wandearah West,Morgan/Northern
Ward Hill,Morgan/Northern
Warnertown,Morgan/Northern
Warooka,Morgan/Swan Reach
Warradale,Central metro Adelaide suburbs
Warramboo,Eyre South/Morgan
Washpool,Morgan/Northern
Wasleys,Barossa
Waterfall Gully,Central metro Adelaide suburbs
Waterloo Corner,Northern metro Adelaide suburbs
Watervale,Morgan/Northern
Watinuma,Watinuma
Wattle Park,Eastern metro Adelaide suburbs
Wayville,Central metro Adelaide suburbs
Welland,Western metro Adelaide suburbs
West Beach,Central metro Adelaide suburbs
West Croydon,Western metro Adelaide suburbs
West Hindmarsh,Western metro Adelaide suburbs
West Lakes,Western metro Adelaide suburbs
West Lakes Shore,Western metro Adelaide suburbs
West Richmond,Central metro Adelaide suburbs
Westbourne Park,Central metro Adelaide suburbs
Whites Valley,Southern metro Adelaide suburbs
Whyalla,Morgan/Northern
Whyalla Barson,Morgan/Northern
Whyalla Jenkins,Morgan/Northern
Whyalla Norrie,Morgan/Northern
Whyalla Playford,Morgan/Northern
Whyalla Stuart,Morgan/Northern
Wild Horse Plains,Barossa
Willamulka,Morgan/Northern
Willaston,Barossa (supplying Gawler and surrounds)
Williamstown,Swan Reach
Willunga,Myponga metro (supplying outer southern Adelaide)
Willunga South,Myponga metro (supplying outer southern Adelaide)
Willyaroo,Summit
Wilmington,Wilmington
Windsor,Barossa
Windsor Gardens,Eastern metro Adelaide suburbs
Wingfield,Western metro Adelaide suburbs
Winninowie,Morgan/Northern
Wirrabara,Morgan/Northern
Wirrina Cove,Wirrina Cove
Wirrulla,Eyre South/Morgan
Wistow,Summit
Wokurna,Morgan/Northern
Woodcroft,Central metro Adelaide suburbs
Woodforde,Eastern metro Adelaide suburbs
Woodside,Summit
Woodville,Western metro Adelaide suburbs
Woodville Gardens,Western metro Adelaide suburbs
Woodville North,Western metro Adelaide suburbs
Woodville Park,Western metro Adelaide suburbs
Woodville South,Western metro Adelaide suburbs
Woodville West,Western metro Adelaide suburbs
Wool Bay,Morgan/Swan Reach
Woolpunda,Woolpunda
Woolundunga,Morgan/Northern
Wudinna,Eyre South/Morgan
Wunkar,Woolpunda
Wynarka,Tailem Bend
Wynn Vale,Anstey Hill (supplying north eastern Adelaide)
Yacka,Morgan/Northern
Yalata,Yalata
Yaninee,Eyre South/Morgan
Yankalilla,Myponga (supplying Victor Harbor and the Fleurieu)
Yantanabie,Eyre South/Morgan
Yatala Vale,Anstey Hill (supplying north eastern Adelaide)
Yeelanna,Eyre South
Yongala,Morgan/Northern
Yorketown,Morgan/Swan Reach
Yumali,Tailem Bend
Yunta,Yunta
Yunyarinyi,Yunyarinyi
