sex,year,experience_of_violence,type_of_violence,sex_of_perpetrator,relationship_with_perpetrator,unit,value,rse,95_moe,lower_ci,upper_ci,data_flag
Males,2021-22,Experienced violence in the last 12 months,All violence,By a person,Boyfriend/girlfriend/date,Proportion,0.1,n.p.,n.a.,n.a.,n.a.,**
Males,2021-22,Experienced violence in the last 12 months,All violence,By a person,Intimate partner,Proportion,0.6,44.4,0.5,0.1,1.1,^*
Males,2021-22,Experienced violence in the last 12 months,All violence,By a person,Cohabiting partner,Proportion,0.5,n.p.,n.a.,n.a.,n.a.,**
Males,2021-22,Experienced violence in the last 12 months,Economic abuse,By a person,Cohabiting partner,Proportion,0.9,27.9,0.5,0.4,1.4,*
Males,2021-22,Experienced violence in the last 12 months,Emotional abuse,By a person,Cohabiting partner,Proportion,2.5,18.7,0.9,1.6,3.4,
Males,2021-22,Experienced violence in the last 12 months,Physical violence,By a person,Cohabiting partner,Proportion,0.5,n.p.,n.a.,n.a.,n.a.,**
Males,2021-22,Experienced violence in the last 12 months,Sexual violence,By a person,Cohabiting partner,Proportion,—,n.p.,n.a.,n.a.,n.a.,
Males,2021-22,Experienced violence in the last 12 months,Violence or emotional abuse or economic abuse,By a person,Cohabiting partner,Proportion,2.6,19.4,1.0,1.6,3.6,
Males,2021-22,Experienced violence since age 15,All violence,By a person,Intimate partner,Proportion,7.3,13.0,1.9,5.4,9.2,
Males,2021-22,Experienced violence since age 15,All violence,By a person,Boyfriend/girlfriend or date,Proportion,2.3,26.4,1.2,1.1,3.5,*
Males,2021-22,Experienced violence since age 15,All violence,By a person,Cohabiting partner,Proportion,5.5,14.5,1.6,3.9,7.1,
Males,2021-22,Experienced violence since age 15,Economic abuse,By a person,Cohabiting partner,Proportion,7.8,13.7,2.1,5.7,9.9,
Males,2021-22,Experienced violence since age 15,Emotional abuse,By a person,Cohabiting partner,Proportion,13.8,9.2,2.5,11.3,16.3,
Males,2021-22,Experienced violence since age 15,Physical assault,By a male,Intimate partner,Proportion,0.4,n.p.,n.a.,n.a.,n.a.,**
Males,2021-22,Experienced violence since age 15,Physical assault,By a female,Cohabiting partner,Proportion,4.8,16.8,1.6,3.2,6.4,
Males,2021-22,Experienced violence since age 15,Physical assault,By a female,Intimate partner,Proportion,5.9,15.1,1.7,4.2,7.6,
Males,2021-22,Experienced violence since age 15,Physical assault,By a female,Girlfriend/date,Proportion,1.2,34.7,0.8,0.4,2.0,*
Males,2021-22,Experienced violence since age 15,Physical violence,By a person,Cohabiting partner,Proportion,5.3,15.7,1.6,3.7,6.9,
Males,2021-22,Experienced violence since age 15,Sexual violence,By a person,Cohabiting partner,Proportion,0.7,n.p.,n.a.,n.a.,n.a.,**
Males,2021-22,Experienced violence since age 15,Violence or emotional abuse or economic abuse,By a person,Cohabiting partner,Proportion,15.3,8.5,2.5,12.8,17.8,
Persons,2021-22,Experienced violence since age 15,All violence,By a person,Cohabiting partner,Proportion,11.3,3.7,0.8,10.5,12.1,
Persons,2021-22,Experienced violence since age 15,All violence,By a person,Boyfriend/girlfriend or date,Proportion,5.9,6.7,0.8,5.1,6.7,
Persons,2021-22,Experienced violence since age 15,All violence,By a person,Intimate partner,Proportion,15.5,3.3,1.0,14.5,16.5,
Persons,2021-22,Experienced violence since age 15,Economic abuse,By a person,Cohabiting partner,Proportion,12.2,4.5,1.1,11.1,13.3,
Persons,2021-22,Experienced violence since age 15,Emotional abuse,By a person,Cohabiting partner,Proportion,18.5,3.6,1.3,17.2,19.8,
Persons,2021-22,Experienced violence since age 15,Physical violence,By a person,Cohabiting partner,Proportion,10.2,4.2,0.8,9.4,11.0,
Persons,2021-22,Experienced violence since age 15,Sexual violence,By a person,Cohabiting partner,Proportion,3.5,6.5,0.4,3.1,3.9,
Persons,2021-22,Experienced violence since age 15,Violence or emotional abuse or economic abuse,By a person,Cohabiting partner,Proportion,21.4,3.1,1.3,20.1,22.7,
